Date,Name,Close,High,Low,Open,Volume
07/02/2001,Golden Ocean Group Ltd,93.5527502254,93.5527502254,90.8476104599,90.8476104599,"146,100",
07/03/2001,Golden Ocean Group Ltd,100.6311992786,101.4427412083,94.2290351668,95.8070333634,"80,500",
07/05/2001,Golden Ocean Group Ltd,101.4427412083,102.254283138,99.7745716862,101.5329125338,"163,200",
07/06/2001,Golden Ocean Group Ltd,100.1352569883,101.8485121731,99.1884580703,101.8034265104,"92,700",
07/09/2001,Golden Ocean Group Ltd,101.2173128945,101.7583408476,99.1884580703,101.6681695221,"92,400",
07/10/2001,Golden Ocean Group Ltd,95.9873760144,102.2993688007,95.130748422,100.9017132552,"186,400",
07/11/2001,Golden Ocean Group Ltd,96.9341749324,96.9341749324,92.7412082958,95.8070333634,"250,000",
07/12/2001,Golden Ocean Group Ltd,98.3769161407,100.3155996393,95.5816050496,98.2867448151,"95,100",
07/13/2001,Golden Ocean Group Ltd,96.9341749324,100.3155996393,95.8521190261,100.3155996393,"109,300",
07/16/2001,Golden Ocean Group Ltd,99.4589720469,100.5410279531,96.9341749324,96.9341749324,"67,400",
07/17/2001,Golden Ocean Group Ltd,97.565374211,101.4427412083,94.6798917944,100.0225428314,"122,500",
07/18/2001,Golden Ocean Group Ltd,97.1596032462,100.3155996393,94.0937781785,94.7249774572,"124,500",
07/19/2001,Golden Ocean Group Ltd,96.0324616772,100.3155996393,94.9053201082,100.2705139766,"71,100",
07/20/2001,Golden Ocean Group Ltd,99.5942290352,99.6393146979,96.0324616772,96.0324616772,"55,000",
07/23/2001,Golden Ocean Group Ltd,96.9792605951,100.0450856628,96.9341749324,98.0613165014,"90,600",
07/24/2001,Golden Ocean Group Ltd,88.8187556357,94.2290351668,85.8881875564,94.2290351668,"595,200",
07/25/2001,Golden Ocean Group Ltd,85.6627592426,89.0441839495,85.211902615,88.1424706943,"393,000",
07/26/2001,Golden Ocean Group Ltd,85.2569882777,86.1136158702,84.3101893598,86.1136158702,"179,300",
07/27/2001,Golden Ocean Group Ltd,86.1136158702,86.5644724977,85.1217312894,85.6627592426,"140,600",
07/30/2001,Golden Ocean Group Ltd,84.8061316501,86.1587015329,84.5356176736,86.1136158702,"184,100",
07/31/2001,Golden Ocean Group Ltd,84.7610459874,85.8881875564,84.3101893598,84.9864743012,"191,300",
08/01/2001,Golden Ocean Group Ltd,82.7321911632,85.572587917,82.2813345356,84.8061316501,"189,200",
08/02/2001,Golden Ocean Group Ltd,82.957619477,83.4084761046,81.3796212804,82.8674481515,"320,200",
08/03/2001,Golden Ocean Group Ltd,84.8512173129,85.211902615,82.7357980162,83.8593327322,"66,200",
08/06/2001,Golden Ocean Group Ltd,83.2281334536,86.3390441839,82.957619477,84.5807033363,"179,200",
08/07/2001,Golden Ocean Group Ltd,80.4779080252,84.0396753832,80.0721370604,82.957619477,"652,100",
08/08/2001,Golden Ocean Group Ltd,81.6952209197,82.5969341749,80.0270513977,80.703336339,"162,800",
08/09/2001,Golden Ocean Group Ltd,81.1541929666,85.211902615,81.1091073039,81.9431920649,"76,200",
08/10/2001,Golden Ocean Group Ltd,81.8408476105,82.9125338142,81.1541929666,82.5969341749,"90,400",
08/13/2001,Golden Ocean Group Ltd,83.1830477908,88.3678990081,82.0559062218,82.7321911632,"88,500",
08/14/2001,Golden Ocean Group Ltd,85.7078449053,86.519386835,84.5356176736,85.6627592426,"75,000",
08/15/2001,Golden Ocean Group Ltd,85.5275022543,86.7899008115,84.5356176736,86.7899008115,"77,500",
08/16/2001,Golden Ocean Group Ltd,85.7529305681,85.9783588819,85.211902615,85.6627592426,"88,300",
08/17/2001,Golden Ocean Group Ltd,85.4824165915,85.7980162308,85.1668169522,85.7966591524,"38,600",
08/20/2001,Golden Ocean Group Ltd,83.9495040577,86.1136158702,83.9495040577,85.4824165915,"80,800",
08/21/2001,Golden Ocean Group Ltd,82.7321911632,85.6176735798,82.2813345356,84.6934174932,"70,100",
08/22/2001,Golden Ocean Group Ltd,83.9495040577,84.0396753832,81.5148782687,84.0396753832,"85,600",
