Date,Name,Close,High,Low,Open,Volume
04/30/2003,GameStop Corp Class A,1.49375,1.5325,1.48125,1.52125,"571,600",
05/01/2003,GameStop Corp Class A,1.425,1.4975,1.385,1.49375,"797,900",
05/02/2003,GameStop Corp Class A,1.4075,1.48625,1.40625,1.475,"482,700",
05/05/2003,GameStop Corp Class A,1.49625,1.49875,1.4125,1.4125,"649,300",
05/06/2003,GameStop Corp Class A,1.4675,1.55,1.4675,1.49875,"313,100",
05/07/2003,GameStop Corp Class A,1.66,1.66125,1.50625,1.5125,"981,400",
05/08/2003,GameStop Corp Class A,1.63125,1.65375,1.60625,1.6475,"443,100",
05/09/2003,GameStop Corp Class A,1.66125,1.6675,1.62625,1.62875,"348,700",
05/12/2003,GameStop Corp Class A,1.71375,1.735,1.625,1.65,"373,800",
05/13/2003,GameStop Corp Class A,1.62875,1.67375,1.615,1.625,"729,000",
05/14/2003,GameStop Corp Class A,1.66875,1.70875,1.65,1.65,"407,500",
05/15/2003,GameStop Corp Class A,1.62375,1.68875,1.62,1.68125,"263,700",
05/16/2003,GameStop Corp Class A,1.625,1.6375,1.6,1.60625,"432,100",
05/19/2003,GameStop Corp Class A,1.55375,1.61875,1.54375,1.6125,"212,900",
05/20/2003,GameStop Corp Class A,1.51,1.5875,1.47,1.56,"713,200",
05/21/2003,GameStop Corp Class A,1.54375,1.56,1.49625,1.51125,"482,900",
05/22/2003,GameStop Corp Class A,1.44375,1.5625,1.41875,1.5625,"1,575,400",
05/23/2003,GameStop Corp Class A,1.46875,1.4875,1.44375,1.45,"452,500",
05/27/2003,GameStop Corp Class A,1.50625,1.5225,1.46875,1.4725,"822,300",
05/28/2003,GameStop Corp Class A,1.55875,1.58625,1.52875,1.575,"630,400",
05/29/2003,GameStop Corp Class A,1.55875,1.59375,1.55,1.58125,"445,700",
05/30/2003,GameStop Corp Class A,1.56625,1.64,1.56625,1.575,"725,600",
06/02/2003,GameStop Corp Class A,1.58,1.63,1.56875,1.56875,"785,000",
06/03/2003,GameStop Corp Class A,1.5775,1.6,1.5575,1.6,"403,100",
06/04/2003,GameStop Corp Class A,1.575,1.6,1.5625,1.5875,"309,500",
06/05/2003,GameStop Corp Class A,1.60625,1.6125,1.5675,1.575,"276,800",
06/06/2003,GameStop Corp Class A,1.6125,1.65,1.5975,1.60625,"325,400",
06/09/2003,GameStop Corp Class A,1.59375,1.62375,1.57625,1.6125,"206,600",
06/10/2003,GameStop Corp Class A,1.59375,1.61,1.58375,1.5925,"239,200",
06/11/2003,GameStop Corp Class A,1.59375,1.60625,1.5875,1.6,"123,200",
06/12/2003,GameStop Corp Class A,1.58875,1.62875,1.5875,1.60625,"282,900",
06/13/2003,GameStop Corp Class A,1.59375,1.61875,1.57625,1.58125,"107,100",
06/16/2003,GameStop Corp Class A,1.64875,1.65625,1.595,1.595,"412,300",
06/17/2003,GameStop Corp Class A,1.735,1.7775,1.65875,1.6625,"894,900",
06/18/2003,GameStop Corp Class A,1.73375,1.75125,1.70625,1.73375,"233,900",
06/19/2003,GameStop Corp Class A,1.6925,1.7525,1.67625,1.73375,"268,100",
06/20/2003,GameStop Corp Class A,1.6975,1.71625,1.68,1.69125,"80,400",
06/23/2003,GameStop Corp Class A,1.6375,1.7,1.6375,1.7,"276,900",
06/24/2003,GameStop Corp Class A,1.6725,1.68375,1.6375,1.6375,"317,700",
06/25/2003,GameStop Corp Class A,1.65,1.685,1.65,1.685,"109,500",
06/26/2003,GameStop Corp Class A,1.6175,1.64,1.5925,1.6375,"402,200",
06/27/2003,GameStop Corp Class A,1.56875,1.6275,1.56625,1.6175,"548,200",
06/30/2003,GameStop Corp Class A,1.615,1.62125,1.56625,1.56875,"1,144,700",
07/01/2003,GameStop Corp Class A,1.64875,1.65125,1.59375,1.63125,"340,700",
07/02/2003,GameStop Corp Class A,1.7,1.73,1.6425,1.65,"497,000",
07/03/2003,GameStop Corp Class A,1.6625,1.6875,1.65625,1.6875,"87,800",
07/07/2003,GameStop Corp Class A,1.72125,1.725,1.675,1.675,"255,700",
07/08/2003,GameStop Corp Class A,1.82375,1.84375,1.71625,1.73375,"949,900",
07/09/2003,GameStop Corp Class A,1.85625,1.85625,1.79875,1.82875,"323,900",
07/10/2003,GameStop Corp Class A,1.7875,1.845,1.7875,1.8375,"254,100",
07/11/2003,GameStop Corp Class A,1.75625,1.8,1.74125,1.78375,"397,800",
07/14/2003,GameStop Corp Class A,1.8,1.8325,1.7875,1.7875,"277,100",
07/15/2003,GameStop Corp Class A,1.765,1.81625,1.74375,1.8125,"155,200",
07/16/2003,GameStop Corp Class A,1.7025,1.7675,1.70125,1.765,"209,800",
07/17/2003,GameStop Corp Class A,1.6875,1.6875,1.6225,1.65625,"843,100",
07/18/2003,GameStop Corp Class A,1.69375,1.74,1.66125,1.6875,"236,200",
07/21/2003,GameStop Corp Class A,1.65,1.69375,1.65,1.69375,"142,100",
07/22/2003,GameStop Corp Class A,1.715,1.715,1.65625,1.65625,"97,600",
07/23/2003,GameStop Corp Class A,1.6575,1.7025,1.6575,1.7025,"192,100",
07/24/2003,GameStop Corp Class A,1.68125,1.70875,1.67,1.67,"395,700",
07/25/2003,GameStop Corp Class A,1.6875,1.7125,1.65875,1.6875,"607,300",
07/28/2003,GameStop Corp Class A,1.7625,1.76875,1.68125,1.68125,"158,700",
07/29/2003,GameStop Corp Class A,1.78125,1.825,1.73375,1.7725,"234,900",
07/30/2003,GameStop Corp Class A,1.76875,1.78375,1.74375,1.76875,"200,900",
07/31/2003,GameStop Corp Class A,1.7,1.76875,1.6875,1.76875,"229,200",
08/01/2003,GameStop Corp Class A,1.69125,1.70375,1.66375,1.70125,"215,000",
08/04/2003,GameStop Corp Class A,1.71875,1.71875,1.64125,1.6875,"173,200",
08/05/2003,GameStop Corp Class A,1.675,1.7125,1.665,1.7125,"217,800",
