Date,Name,Close,High,Low,Open,Volume
07/14/2008,Xcel Brands Inc,2.083332,2.083332,2.083332,2.083332,"5,000",
07/24/2008,Xcel Brands Inc,1.562499,1.8229155,1.562499,1.8229155,"15,000",
08/28/2008,Xcel Brands Inc,1.2499992,1.3020825,1.2499992,1.3020825,"250,000",
10/17/2008,Xcel Brands Inc,1.0937493,1.0937493,1.0937493,1.0937493,"2,000",
10/23/2008,Xcel Brands Inc,1.0937493,1.0937493,1.0937493,1.0937493,"5,000",
11/04/2008,Xcel Brands Inc,1.0937493,1.0937493,1.0937493,1.0937493,"5,000",
11/06/2008,Xcel Brands Inc,1.041666,1.0937493,1.041666,1.0937493,"15,000",
11/21/2008,Xcel Brands Inc,0.520833,0.520833,0.520833,0.520833,"15,000",
12/04/2008,Xcel Brands Inc,0.520833,0.520833,0.520833,0.520833,"25,000",
12/17/2008,Xcel Brands Inc,0.520833,0.520833,0.2604165,0.2604165,"534,000",
12/26/2008,Xcel Brands Inc,0.520833,0.520833,0.520833,0.520833,"650,000",
01/16/2009,Xcel Brands Inc,0.520833,0.520833,0.520833,0.520833,"59,000",
01/20/2009,Xcel Brands Inc,0.2604165,0.2604165,0.2604165,0.2604165,"325,000",
04/13/2009,Xcel Brands Inc,0.520833,0.520833,0.520833,0.520833,"5,000",
04/20/2009,Xcel Brands Inc,2.604165,2.604165,2.604165,2.604165,"5,000",
04/23/2009,Xcel Brands Inc,2.083332,2.083332,2.083332,2.083332,"5,000",
06/12/2009,Xcel Brands Inc,0.520833,0.520833,0.520833,0.520833,"5,000",
06/16/2009,Xcel Brands Inc,0.520833,0.520833,0.520833,0.520833,"5,000",
09/16/2009,Xcel Brands Inc,0.5729163,0.5729163,0.5729163,0.5729163,"100,000",
09/24/2009,Xcel Brands Inc,0.5729163,0.5729163,0.5729163,0.5729163,"64,519",
11/16/2009,Xcel Brands Inc,0.5729163,0.5729163,0.5729163,0.5729163,"28,280",
11/17/2009,Xcel Brands Inc,0.5729163,0.5729163,0.5729163,0.5729163,"29,000",
11/19/2009,Xcel Brands Inc,0.5729163,0.5729163,0.5729163,0.5729163,"28,280",
02/01/2010,Xcel Brands Inc,1.041666,1.041666,1.041666,1.041666,"10,000",
02/03/2010,Xcel Brands Inc,1.3020825,1.3020825,1.3020825,1.3020825,"10,000",
02/09/2010,Xcel Brands Inc,0.5729163,0.5729163,0.5729163,0.5729163,"5,000",
02/18/2010,Xcel Brands Inc,4.166664,5.20833,1.562499,1.562499,"50,000",
02/24/2010,Xcel Brands Inc,4.166664,4.166664,4.166664,4.166664,"5,000",
03/18/2010,Xcel Brands Inc,3.124998,3.124998,3.124998,3.124998,"1,000",
03/23/2010,Xcel Brands Inc,2.604165,3.124998,2.604165,3.124998,"10,000",
03/24/2010,Xcel Brands Inc,0.3645831,1.041666,0.3645831,1.041666,"50,000",
03/29/2010,Xcel Brands Inc,0.7812495,0.7812495,0.7812495,0.7812495,"5,000",
03/30/2010,Xcel Brands Inc,0.7812495,0.7812495,0.7812495,0.7812495,"59,702",
04/06/2010,Xcel Brands Inc,0.7812495,0.7812495,0.7812495,0.7812495,"1,500",
05/06/2010,Xcel Brands Inc,0.8854161,0.8854161,0.8854161,0.8854161,"61,202",
05/25/2010,Xcel Brands Inc,1.041666,1.041666,1.041666,1.041666,"5,000",
06/07/2010,Xcel Brands Inc,0.5729163,0.5729163,0.5729163,0.5729163,"4,625",
08/12/2010,Xcel Brands Inc,1.0937493,1.0937493,1.0937493,1.0937493,"29,250",
09/02/2010,Xcel Brands Inc,5.20833,20.83332,4.687497,4.687497,"215,333",
09/03/2010,Xcel Brands Inc,5.20833,5.20833,5.20833,5.20833,"75,000",
09/07/2010,Xcel Brands Inc,7.812495,7.812495,4.5312471,4.5312471,"73,702",
09/08/2010,Xcel Brands Inc,5.729163,7.812495,5.729163,6.770829,"57,500",
09/09/2010,Xcel Brands Inc,7.812495,7.812495,7.812495,7.812495,"30,000",
09/10/2010,Xcel Brands Inc,7.812495,7.812495,7.812495,7.812495,"288,000",
09/13/2010,Xcel Brands Inc,9.895827,10.41666,7.812495,7.812495,"951,995",
09/14/2010,Xcel Brands Inc,8.854161,10.41666,7.812495,9.895827,"344,900",
09/15/2010,Xcel Brands Inc,6.8229123,10.41666,6.770829,10.41666,"184,900",
09/16/2010,Xcel Brands Inc,7.812495,9.895827,7.812495,8.854161,"89,302",
09/17/2010,Xcel Brands Inc,6.770829,7.812495,6.770829,7.812495,"46,600",
09/20/2010,Xcel Brands Inc,9.374994,9.374994,9.374994,9.374994,"3,000",
09/21/2010,Xcel Brands Inc,6.770829,6.770829,6.770829,6.770829,"15,000",
09/22/2010,Xcel Brands Inc,5.20833,7.291662,5.20833,7.291662,"202,400",
09/23/2010,Xcel Brands Inc,5.20833,5.20833,5.20833,5.20833,"30,000",
09/29/2010,Xcel Brands Inc,3.645831,4.166664,3.645831,4.166664,"35,000",
09/30/2010,Xcel Brands Inc,3.645831,3.645831,3.645831,3.645831,"121,000",
10/11/2010,Xcel Brands Inc,3.645831,3.645831,3.645831,3.645831,"16,000",
11/03/2010,Xcel Brands Inc,4.166664,4.166664,4.166664,4.166664,"10,185",
11/08/2010,Xcel Brands Inc,7.291662,7.291662,7.291662,7.291662,"1,425",
11/11/2010,Xcel Brands Inc,7.291662,7.291662,6.770829,6.770829,"80,000",
11/15/2010,Xcel Brands Inc,8.333328,8.333328,8.333328,8.333328,"10,000",
11/16/2010,Xcel Brands Inc,9.895827,12.7604085,7.812495,8.333328,"737,491",
11/17/2010,Xcel Brands Inc,12.499992,12.499992,9.374994,10.937493,"537,932",
11/18/2010,Xcel Brands Inc,9.895827,11.979159,9.895827,11.979159,"70,920",
11/22/2010,Xcel Brands Inc,9.895827,9.895827,9.895827,9.895827,"35,500",
11/30/2010,Xcel Brands Inc,8.854161,8.854161,8.854161,8.854161,"13,000",
12/02/2010,Xcel Brands Inc,7.812495,7.8645783,7.812495,7.8645783,"10,000",
12/03/2010,Xcel Brands Inc,12.499992,12.499992,7.812495,7.812495,"14,190",
12/06/2010,Xcel Brands Inc,6.3020793,7.812495,6.3020793,7.812495,"80,000",
12/07/2010,Xcel Brands Inc,6.770829,6.770829,6.770829,6.770829,"1,000",
12/17/2010,Xcel Brands Inc,5.729163,6.770829,5.729163,6.770829,"20,850",
12/21/2010,Xcel Brands Inc,3.124998,5.729163,3.124998,5.729163,"45,000",
12/22/2010,Xcel Brands Inc,7.812495,7.812495,7.812495,7.812495,"3,730",
